epoch,train_loss,train_acc,val_loss,val_acc
0,2.250507082257952,0,2.063019037246704,0.23549997806549072
1,1.8314712941646576,0,1.6445342302322388,0.3985000252723694
2,1.5791789144277573,0,1.4950374364852905,0.4545999765396118
3,1.3315510153770447,0,1.4534612894058228,0.49709999561309814
4,1.069157287478447,0,1.0903959274291992,0.6220000088214874
5,0.878060519695282,0,0.905493438243866,0.6922000050544739
6,0.7956836447119713,0,0.8304871320724487,0.7197000086307526
7,0.7203552350401878,0,0.7288249135017395,0.7516999989748001
8,0.6329450383782387,0,0.7352335453033447,0.7522000074386597
9,0.6255038157105446,0,0.826251745223999,0.7209999859333038
10,0.5869567170739174,0,0.7876741290092468,0.7448999881744385
11,0.5367041230201721,0,0.6747580170631409,0.7774000018835068
12,0.5194076150655746,0,0.5684630870819092,0.8073000013828278
13,0.46322064474225044,0,0.6614522337913513,0.7838000059127808
14,0.5230711884796619,0,0.5419653058052063,0.8165999948978424
15,0.4427022784948349,0,0.582278311252594,0.8076999932527542
16,0.4407759777137211,0,0.5900577306747437,0.80519999563694
17,0.43171029165387154,0,0.5452144742012024,0.8144000023603439
18,0.4185509867966175,0,0.5293284058570862,0.8229999989271164
19,0.452668908983469,0,0.5313560366630554,0.8192999958992004
20,0.3445896990597248,0,0.5716772675514221,0.8263999968767166
21,0.38259048387408257,0,0.4883185625076294,0.840599998831749
22,0.3447749274117606,0,0.47697803378105164,0.8472999930381775
23,0.3495817668735981,0,0.5348954796791077,0.8323000073432922
24,0.3350376468151808,0,0.6219691634178162,0.8185999989509583
25,0.33847925066947937,0,0.4587212800979614,0.8456999957561493
26,0.333021754398942,0,0.5010220408439636,0.8384000062942505
27,0.2914629706314632,0,0.5031012892723083,0.8322000056505203
28,0.2941458038985729,0,0.5228083729743958,0.8372000008821487
29,0.29190025106072426,0,0.5724163055419922,0.8196000009775162
30,0.27855466678738594,0,0.4710981845855713,0.8445000052452087
31,0.3059340864419937,0,0.415315181016922,0.8569999933242798
32,0.31652413308620453,0,0.47089534997940063,0.8493999987840652
33,0.2860236806528909,0,0.49125581979751587,0.8418000042438507
34,0.2690578754991293,0,0.4411241114139557,0.8601000010967255
35,0.263923954218626,0,0.4714118242263794,0.8500999957323074
36,0.2703135423362255,0,0.4316534698009491,0.8622000068426132
37,0.24882655031979084,0,0.4700324237346649,0.8587000072002411
38,0.2648110283272607,0,0.4164310693740845,0.8633999973535538
39,0.27919841557741165,0,0.4924280643463135,0.8516000062227249
40,0.22613943740725517,0,0.4498516023159027,0.8632999956607819
41,0.2687883544713259,0,0.41882002353668213,0.8681000024080276
42,0.30307397432625294,0,0.5352112054824829,0.8330000042915344
43,0.23012099787592888,0,0.4373396337032318,0.8578999936580658
44,0.2775776620422091,0,0.3933854103088379,0.8728999942541122
45,0.21798117645084858,0,0.517619788646698,0.8417000025510788
46,0.23533286713063717,0,0.4496903419494629,0.8624999970197678
47,0.20749148074537516,0,0.4882892668247223,0.8486000001430511
48,0.24192069098353386,0,0.4170171022415161,0.8663000017404556
49,0.2528619207441807,0,0.4250335097312927,0.864099994301796
50,0.2554184240954263,0,0.5075951814651489,0.8434000015258789
51,0.21015553921461105,0,0.45905330777168274,0.8652999997138977
52,0.27368617057800293,0,0.42372602224349976,0.8628000020980835
53,0.24110666289925575,0,0.4503946900367737,0.8606999963521957
54,0.25723644718527794,0,0.592673659324646,0.8383000046014786
55,0.20314903876611165,0,0.5268948078155518,0.8526999950408936
56,0.20196774415671825,0,0.402934730052948,0.8692999929189682
57,0.20082392264157534,0,0.6004997491836548,0.8306999951601028
58,0.19642404280602932,0,0.4959143102169037,0.855100005865097
59,0.24347228836268187,0,0.5299683809280396,0.8464999943971634
60,0.22123370505869389,0,0.5493982434272766,0.8355000019073486
61,0.23087198393685476,0,0.43484288454055786,0.8642999976873398
62,0.20976694952696562,0,0.4077569544315338,0.8721999973058701
63,0.23115125484764576,0,0.45952147245407104,0.8624999970197678
64,0.19937905855476856,0,0.5328641533851624,0.8427000045776367
65,0.21962948888540268,0,0.4236093759536743,0.8675000071525574
66,0.21643011484827315,0,0.4954488277435303,0.848800003528595
67,0.19976635836064816,0,0.4320678114891052,0.8622999936342239
68,0.19200787786394358,0,0.4235078990459442,0.8614999949932098
69,0.1916370838880539,0,0.45016366243362427,0.8624999970197678
70,0.2007346898317337,0,0.4064094126224518,0.8735000044107437
71,0.19844725541770458,0,0.4581797420978546,0.8696999996900558
72,0.17756118518965586,0,0.46454042196273804,0.8621000051498413
73,0.1823343550786376,0,0.4194275438785553,0.875399999320507
74,0.1914938660338521,0,0.4232971668243408,0.8739999979734421
75,0.2244879025965929,0,0.5132943391799927,0.8501999974250793
76,0.20359393116086721,0,0.42048710584640503,0.877300001680851
77,0.1910636808191027,0,0.4750162661075592,0.8571999967098236
78,0.1675910223275423,0,0.49591708183288574,0.8540000021457672
79,0.20146523043513298,0,0.4795539975166321,0.8566000014543533
80,0.11772680655121803,0,0.27064573764801025,0.9152999967336655
81,0.05951935867778957,0,0.26892217993736267,0.9189999997615814
82,0.08369837375357747,0,0.27104154229164124,0.9182000011205673
83,0.044524658870484145,0,0.27366045117378235,0.9213000014424324
84,0.04842146998271346,0,0.27803200483322144,0.9211999997496605
85,0.05404890619684011,0,0.2761289179325104,0.9226000010967255
86,0.03193178802030161,0,0.2812096178531647,0.9227999970316887
87,0.03270926175173372,0,0.28877758979797363,0.9223000034689903
88,0.028284141660801003,0,0.2906394302845001,0.9222000017762184
