epoch,train_loss,train_acc,val_loss,val_acc
0,1.8013435642242432,0.32705,1.5040004577636719,0.4294
1,1.562922744178772,0.4169,1.323403235244751,0.498
2,1.4309194408416748,0.47515,1.1996244022369384,0.5614
3,1.3627801244735718,0.504,1.1297764471054077,0.587
4,1.3004140058517457,0.52705,1.0609826698303222,0.63
5,1.2267453588485717,0.56075,1.0009214000701905,0.6452
6,1.1949735385894775,0.57465,1.034949566268921,0.6274
7,1.1478852179527284,0.59195,0.913650138759613,0.6726
8,1.1221438905715941,0.5979,0.8540176210403443,0.7126
9,1.0814206473350525,0.6147,1.024979137802124,0.6476
10,1.0572373342514039,0.6239,0.8255925662994384,0.7176
11,1.0237935124397277,0.6365,0.7877233329296112,0.7164
12,0.9969732231140137,0.6477,0.7898663200378419,0.7278
13,0.9632219756126403,0.6593,0.7642116698265076,0.7334
14,0.960753136062622,0.66555,0.7225381797790528,0.7466
15,0.9401060467720032,0.67195,0.7234592935562134,0.7496
16,0.9234351421356202,0.6763,0.7076011737823487,0.7488
17,0.9109472694396973,0.68325,0.7027425144195557,0.7594
18,0.8848501844406128,0.69015,0.6968509626388549,0.7596
19,0.869186803150177,0.69495,0.6483460331916809,0.7738
20,0.8598831753730773,0.69955,0.711724578666687,0.7498
21,0.8443433463096619,0.70765,0.6153300480842591,0.7876
22,0.8294987500190735,0.71265,0.6239665612220764,0.7862
23,0.8229103601455688,0.70995,0.6210148022651673,0.7828
24,0.8001513724327087,0.71815,0.5994567486763,0.788
25,0.7965711876869201,0.7223,0.5810575772285461,0.7966
26,0.7751681531906128,0.7314,0.562613612318039,0.8034
27,0.7785142906188964,0.72975,0.5699421946525574,0.7998
28,0.7731911880493164,0.73215,0.5685092821121216,0.8076
29,0.7562557748794556,0.73835,0.5523984267234803,0.8144
30,0.746234743309021,0.7385,0.5364610455513,0.8178
31,0.7402778723716735,0.7401,0.5385666506767273,0.8174
32,0.737261975479126,0.7455,0.5205114955902099,0.819
33,0.7333354476928711,0.74645,0.5206534823417663,0.8206
34,0.7232079661369324,0.7476,0.516305251789093,0.824
35,0.7250001629829407,0.7434,0.518659589958191,0.824
36,0.7131150319099426,0.7488,0.51414007396698,0.8254
37,0.7068778307914734,0.75095,0.5094356547355652,0.8254
38,0.7155416590690613,0.74955,0.5115758638381958,0.8302
39,0.7076007150650024,0.7558,0.5104014213562011,0.826
