epoch,train_loss,train_acc,val_loss,val_acc
0,1.0944825410842896,0,0,0
1,0.09690435975790024,0,0,0
2,0.025362586602568626,0,0,0
3,0.011942295357584953,0,0,0
4,0.007187880575656891,0,0,0
5,0.0050388420931994915,0,0,0
6,0.0034216921776533127,0,0,0
7,0.003564133308827877,0,0,0
8,0.0018827053718268871,0,0,0
9,0.0016988397110253572,0,0,0
10,0.0014627467608079314,0,0,0
11,0.0012926068156957626,0,0,0
12,0.001099128625355661,0,0,0
13,0.0012365614529699087,0,0,0
14,0.0012207773979753256,0,0,0
15,0.00116067030467093,0,0,0
16,0.006963558495044708,0,0,0
