epoch,train_loss,train_acc,val_loss,val_acc
0,3.005341410636902,0,2.969604969024658,0.3240000009536743
1,2.6418131589889526,0,2.6223111152648926,0.36800000071525574
2,2.1432291865348816,0,2.2834150791168213,0.44699999690055847
3,1.8432248830795288,0,2.0565431118011475,0.49799999594688416
4,1.3248116374015808,0,2.1126034259796143,0.49799999594688416
5,1.2316803336143494,0,1.9312677383422852,0.5239999890327454
6,0.8650885224342346,0,1.82011079788208,0.5619999766349792
7,0.6849645972251892,0,2.3231043815612793,0.5239999890327454
8,0.517196461558342,0,2.1724603176116943,0.5080000162124634
9,0.19617053866386414,0,2.0808801651000977,0.5789999961853027
